month,permno,in_sp500_proxy
2016-03,64311,1
2016-03,62148,1
2016-03,93096,1
2016-03,19350,1
2016-03,70332,1
2016-03,21020,1
2016-03,14702,1
2016-03,14776,1
2016-03,23712,1
2016-03,76605,1
2016-03,15720,1
2016-03,72726,1
2016-03,21776,1
2016-03,85348,1
2016-03,91556,1
2016-03,88446,1
2016-03,76226,1
2016-03,37584,1
2016-03,75241,1
2016-03,22293,1
2016-03,32870,1
2016-03,88352,1
2016-03,10696,1
2016-03,12308,1
2016-03,27887,1
2016-03,90442,1
2016-03,11404,1
2016-03,13788,1
2016-03,91103,1
2016-03,82800,1
2016-03,27828,1
2016-03,10516,1
2016-03,23931,1
2016-03,92121,1
2016-03,82642,1
2016-03,89070,1
2016-03,89003,1
2016-03,91650,1
2016-03,64390,1
2016-03,59248,1
2016-03,30681,1
2016-03,75828,1
2016-03,25320,1
2016-03,80924,1
2016-03,12872,1
2016-03,76744,1
2016-03,77730,1
2016-03,81540,1
2016-03,61621,1
2016-03,64282,1
2016-03,81481,1
2016-03,86580,1
2016-03,75034,1
2016-03,60506,1
2016-03,23536,1
2016-03,87657,1
2016-03,85991,1
2016-03,48506,1
2016-03,41080,1
2016-03,44206,1
2016-03,39490,1
2016-03,77338,1
2016-03,60871,1
2016-03,82775,1
2016-03,10138,1
2016-03,68144,1
2016-03,85913,1
2016-03,10909,1
2016-03,15707,1
2016-03,84769,1
2016-03,35554,1
2016-03,60599,1
2016-03,92618,1
2016-03,84597,1
2016-03,28484,1
2016-03,86228,1
2016-03,46578,1
2016-03,21573,1
2016-03,92890,1
2016-03,90880,1
2016-03,43350,1
2016-03,68591,1
2016-03,42585,1
2016-03,14338,1
2016-03,82307,1
2016-03,82618,1
2016-03,23026,1
2016-03,34817,1
2016-03,41355,1
2016-03,56274,1
2016-03,84381,1
2016-03,58246,1
2016-03,46674,1
2016-03,46877,1
2016-03,45911,1
2016-03,90808,1
2016-03,11600,1
2016-03,13511,1
2016-03,87137,1
2016-03,52695,1
2016-03,91063,1
2016-03,24010,1
2016-03,16600,1
2016-03,11618,1
2016-03,77496,1
2016-03,15202,1
2016-03,21207,1
2016-03,25419,1
2016-03,91068,1
2016-03,14040,1
2016-03,12449,1
2016-03,77462,1
2016-03,79588,1
2016-03,11674,1
2016-03,61815,1
2016-03,87184,1
2016-03,52476,1
2016-03,79906,1
2016-03,93089,1
2016-03,87056,1
2016-03,12742,1
2016-03,22779,1
2016-03,85631,1
2016-03,48486,1
2016-03,87432,1
2016-03,92239,1
2016-03,91207,1
2016-03,26710,1
2016-03,81774,1
2016-03,78977,1
2016-03,34746,1
2016-03,81857,1
2016-03,25778,1
2016-03,24643,1
2016-03,86996,1
2016-03,10933,1
2016-03,15859,1
2016-03,92614,1
2016-03,24985,1
2016-03,92322,1
2016-03,76201,1
2016-03,11891,1
2016-03,89014,1
2016-03,80286,1
2016-03,38156,1
2016-03,60986,1
2016-03,23393,1
2016-03,23229,1
2016-03,91152,1
2016-03,89217,1
2016-03,85257,1
2016-03,84032,1
2016-03,59010,1
2016-03,14295,1
2016-03,70500,1
2016-03,89195,1
2016-03,52090,1
2016-03,39538,1
2016-03,29946,1
2016-03,46886,1
2016-03,91983,1
2016-03,79637,1
2016-03,75607,1
2016-03,77661,1
2016-03,88661,1
2016-03,82581,1
2016-03,14889,1
2016-03,91416,1
2016-03,66384,1
2016-03,90601,1
2016-03,53613,1
2016-03,76082,1
2016-03,23473,1
2016-03,82651,1
2016-03,83906,1
2016-03,80080,1
2016-03,10299,1
2016-03,85459,1
2016-03,85914,1
2016-03,34032,1
2016-03,89269,1
2016-03,11896,1
2016-03,81696,1
2016-03,89002,1
2016-03,37284,1
2016-03,80204,1
2016-03,70308,1
2016-03,28804,1
2016-03,84373,1
2016-03,12062,1
2016-03,77281,1
2016-03,57568,1
2016-03,15404,1
2016-03,23085,1
2016-03,35044,1
2016-03,89508,1
2016-03,52978,1
2016-03,57817,1
2016-03,23579,1
2016-03,13447,1
2016-03,78987,1
2016-03,89866,1
2016-03,87299,1
2016-03,86979,1
2016-03,25582,1
2016-03,12448,1
2016-03,82686,1
2016-03,90520,1
2016-03,76095,1
2016-03,85753,1
2016-03,90199,1
2016-03,23660,1
2016-03,91461,1
2016-03,89216,1
2016-03,90386,1
2016-03,89533,1
2016-03,42877,1
2016-03,49015,1
2016-03,70033,1
2016-03,85926,1
2016-03,15069,1
2016-03,12650,1
2016-03,85621,1
2016-03,75100,1
2016-03,53065,1
2016-03,64995,1
2016-03,89509,1
